,id,click,hour,search_engine_type,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,product_type,C20,advertiser_type
3663003,1.328999297944986e+19,1,14102119,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,262fc99d,0eb711ec,1,0,21725,320,50,2502,0,35,100083,221
22233842,1.3547958779353176e+19,0,14102613,1005,0,89a490f5,ce307e01,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,9d5e0507,be6db1d7,1,0,20009,320,50,2283,0,163,100076,95
24722828,1.3670563472847743e+19,0,14102707,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,05d62eec,a5bce124,1,0,18091,320,50,2060,3,39,-1,23
13789200,1.3381429277792252e+19,0,14102404,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,282caf34,5db079b5,1,2,19950,320,50,1800,3,167,100075,23
38864797,1.1198095006906618e+18,0,14103014,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,6d7906da,1f0bc64f,1,0,19016,300,250,2162,2,39,-1,33
11734769,1.6069657836775481e+19,0,14102313,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,65dda185,235bcfc1,1,0,452,320,50,122,3,1327,-1,15
33584169,6.754245913974719e+18,0,14102907,1005,0,b99a2c43,cc962a1f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b8e87eaa,ea1c91d4,1,2,23642,320,50,2709,3,35,100119,23
23238134,9.363614965214388e+18,0,14102617,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2e942d15,158e4944,1,0,21674,320,50,2495,2,167,-1,23
17955509,4.894444311777226e+18,1,14102511,1005,0,d4abfeb4,3adc78f9,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8ea91d74,5096d134,1,0,18093,320,50,2060,3,39,100210,23
17742667,2.957562986691098e+18,0,14102510,1005,0,85f751fd,c4e18dd6,50e219e0,e2a1ca37,2347f47a,8ded1f7a,d06c436d,4a278297,be6db1d7,1,0,6992,320,50,613,2,39,100233,32
1509437,1.5901274019340718e+19,0,14102107,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,2f535598,759a1676,5bf3d167,1,0,21647,320,50,2487,1,547,-1,51
34308833,1.6985053719923005e+19,0,14102911,1005,0,9a28a858,64778742,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,884297d2,5096d134,1,0,23468,300,250,2691,0,419,-1,212
17448536,9.00326287039179e+18,1,14102508,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3d954a38,ef726eae,1,0,17614,320,50,1993,2,1063,-1,33
9849495,1.469263597134563e+19,0,14102303,1005,0,85f751fd,c4e18dd6,50e219e0,1d64ced5,2347f47a,8ded1f7a,a99f214a,1792d555,d787e91b,1,2,21724,320,50,2502,0,39,-1,221
33617893,9.186694410325196e+18,0,14102907,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b0070d9a,8a4875bd,1,0,23635,320,50,2708,2,35,-1,23
8086963,1.3856171688197057e+19,0,14102215,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b7d476ad,158e4944,1,0,15703,320,50,1722,0,35,100084,79
1501202,1.5244920324224113e+19,0,14102107,1005,0,85f751fd,c4e18dd6,50e219e0,3c4b944d,2347f47a,0f2161f8,5569e379,1421c81a,f063b808,1,0,20382,320,50,1740,3,943,100060,100
27159084,7.262489655854995e+18,0,14102800,1005,0,d6137915,bb1ef334,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9e689bd4,be6db1d7,1,0,20214,320,50,2316,0,167,-1,16
37966116,1.4240665957813187e+19,0,14103010,1005,0,235ba823,f6ebf28e,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,505e0d65,158e4944,1,0,23990,320,50,2747,0,33,100076,76
3476499,8.97224876003991e+18,0,14102117,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ea9edeb5,b50d2bf4,1,0,15708,320,50,1722,0,35,-1,79
9174577,1.5432268194568116e+19,0,14102221,1005,0,4b0f0061,7195bdd6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c5b6bce9,711ee120,1,0,21731,320,50,2502,0,35,100084,221
19156631,1.0494494384887865e+19,0,14102517,1005,1,e5c60a05,7256c623,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1a458f93,158e4944,1,0,16615,320,50,1863,3,39,100188,23
40277471,1.5473132209327491e+19,0,14103022,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,0b2b40b1,4ea23a13,1,0,23161,320,50,2667,0,47,-1,221
24600060,1.824543262856169e+18,0,14102706,1005,0,85f751fd,c4e18dd6,50e219e0,51cedd4e,aefc06bd,0f2161f8,a99f214a,d155b5c7,bbeedfee,1,0,21611,320,50,2480,3,297,100111,61
31479404,1.7845714536171459e+19,0,14102818,1005,0,6f703d13,38714c95,335d28a8,ecad2386,7801e8d9,07d7df22,a99f214a,e7d09d0b,1f0bc64f,1,0,16615,320,50,1863,3,39,-1,23
4243991,1.7108102987204205e+19,0,14102201,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,7152939e,6bb37ddb,fce66524,1,0,4687,320,50,423,2,39,100148,32
657436,1.0010175870260623e+19,0,14102104,1005,0,ee8b8550,f415c8a8,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a3c3fe82,7f015023,1,0,21612,320,50,2481,3,297,100111,61
27335491,1.5736350567913454e+19,0,14102802,1010,1,85f751fd,c4e18dd6,50e219e0,6fef5db2,7801e8d9,0f2161f8,84c1ddb2,60f359d0,36b67a2a,4,2,22920,320,50,2649,0,39,100194,204
9935248,6.236359521399629e+17,0,14102303,1005,1,0a742914,510bd839,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,65dc9339,ce576f14,1,0,21912,320,50,2528,0,35,100075,221
39365248,1.2115689244213156e+19,0,14103016,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3ece517b,5096d134,1,0,17753,320,50,1993,2,1063,100084,33
